epoch,accuracy,loss,val_accuracy,val_loss
0,0.11807357519865036,2.2112185955047607,0.1340782195329666,2.1886463165283203
1,0.1309785097837448,2.184011220932007,0.1378026008605957,2.1761460304260254
2,0.13563494384288788,2.177623987197876,0.14977388083934784,2.1685962677001953
3,0.13536885380744934,2.178295612335205,0.13913275301456451,2.1775543689727783
4,0.14029136300086975,2.1754403114318848,0.14924181997776031,2.1695172786712646
5,0.13989223539829254,2.176352024078369,0.15536047518253326,2.168637275695801
6,0.14142219722270966,2.173201084136963,0.15030592679977417,2.1662442684173584
7,0.1411561220884323,2.173145055770874,0.16041500866413116,2.1694724559783936
8,0.14042440056800842,2.1716718673706055,0.14844372868537903,2.1679413318634033
9,0.14388345181941986,2.173011541366577,0.15642458200454712,2.165195941925049
10,0.14069047570228577,2.1721653938293457,0.15988294780254364,2.1650679111480713
11,0.14534690976142883,2.170053482055664,0.15642458200454712,2.1647768020629883
12,0.14441561698913574,2.17157244682312,0.1508379876613617,2.1691174507141113
13,0.14727599918842316,2.1703686714172363,0.16334131360054016,2.1565332412719727
14,0.14687687158584595,2.171177625656128,0.15323224663734436,2.1682777404785156
15,0.15040244162082672,2.1685338020324707,0.16706570982933044,2.1533920764923096
16,0.1454799473285675,2.1681933403015137,0.17185421288013458,2.151252031326294
17,0.1520654559135437,2.165031909942627,0.16493748128414154,2.155841588973999
18,0.15871748328208923,2.153357982635498,0.16147911548614502,2.151918649673462
19,0.16237610578536987,2.148803949356079,0.16759777069091797,2.1423659324645996
20,0.16051353514194489,2.1540048122406006,0.1205107718706131,2.1887428760528564
21,0.12499168515205383,2.1862246990203857,0.12024474889039993,2.1883327960968018
22,0.12612253427505493,2.1854915618896484,0.16174514591693878,2.174299716949463
23,0.15745359659194946,2.1561732292175293,0.17877094447612762,2.136345386505127
24,0.16004788875579834,2.1459336280822754,0.1912742704153061,2.109102249145508
25,0.1652364730834961,2.1396284103393555,0.18382549285888672,2.122995615005493
26,0.1705581098794937,2.139251947402954,0.19287043809890747,2.125626564025879
27,0.17508149147033691,2.134636163711548,0.19100823998451233,2.1229586601257324
28,0.17434976994991302,2.129300117492676,0.1862197369337082,2.127169370651245
29,0.17820794880390167,2.12709379196167,0.15855281054973602,2.168497323989868
30,0.17135635018348694,2.124882698059082,0.13673849403858185,2.238776206970215
31,0.17308588325977325,2.1199915409088135,0.12503325939178467,2.216869592666626
32,0.17434976994991302,2.1186299324035645,0.12662942707538605,2.2236268520355225
33,0.17794185876846313,2.1133053302764893,0.16174514591693878,2.1641855239868164
34,0.1792057454586029,2.1144802570343018,0.11013567447662354,2.319347620010376
